[2026-03-23 13:34:28] 
--- INICIANDO NAVEGACIÓN HACIA: CASA ---
[2026-03-23 13:37:18] Pos: [8.298581, -62.716662] | Meta: 82.4m | Ideal: 207° | IMU: 46° | Err: 160° -> GIRA A LA DERECHA
[2026-03-23 13:37:20] Pos: [8.298580, -62.716657] | Meta: 82.5m | Ideal: 207° | IMU: 52° | Err: 155° -> GIRA A LA DERECHA
[2026-03-23 13:37:22] Pos: [8.298580, -62.716653] | Meta: 82.7m | Ideal: 207° | IMU: 36° | Err: 172° -> GIRA A LA DERECHA
[2026-03-23 13:37:24] Pos: [8.298577, -62.716651] | Meta: 82.5m | Ideal: 208° | IMU: 69° | Err: 139° -> GIRA A LA DERECHA
[2026-03-23 13:37:26] Pos: [8.298572, -62.716653] | Meta: 81.9m | Ideal: 208° | IMU: 80° | Err: 128° -> GIRA A LA DERECHA
[2026-03-23 13:37:28] Pos: [8.298568, -62.716646] | Meta: 81.9m | Ideal: 208° | IMU: 76° | Err: 132° -> GIRA A LA DERECHA
[2026-03-23 13:37:30] Pos: [8.298571, -62.716648] | Meta: 82.1m | Ideal: 208° | IMU: 77° | Err: 132° -> GIRA A LA DERECHA
[2026-03-23 13:37:32] Pos: [8.298573, -62.716650] | Meta: 82.2m | Ideal: 208° | IMU: 80° | Err: 128° -> GIRA A LA DERECHA
[2026-03-23 13:37:34] Pos: [8.298575, -62.716648] | Meta: 82.5m | Ideal: 208° | IMU: 88° | Err: 120° -> GIRA A LA DERECHA
[2026-03-23 13:37:36] Pos: [8.298569, -62.716643] | Meta: 82.2m | Ideal: 209° | IMU: 83° | Err: 126° -> GIRA A LA DERECHA
[2026-03-23 13:37:38] Pos: [8.298567, -62.716639] | Meta: 82.2m | Ideal: 209° | IMU: 84° | Err: 125° -> GIRA A LA DERECHA
[2026-03-23 13:37:40] Pos: [8.298568, -62.716637] | Meta: 82.3m | Ideal: 209° | IMU: 80° | Err: 129° -> GIRA A LA DERECHA
[2026-03-23 13:37:42] Pos: [8.298562, -62.716633] | Meta: 82.1m | Ideal: 210° | IMU: 74° | Err: 135° -> GIRA A LA DERECHA
[2026-03-23 13:37:44] Pos: [8.298563, -62.716634] | Meta: 82.0m | Ideal: 209° | IMU: 74° | Err: 135° -> GIRA A LA DERECHA
[2026-03-23 13:37:46] Pos: [8.298563, -62.716637] | Meta: 81.9m | Ideal: 209° | IMU: 80° | Err: 130° -> GIRA A LA DERECHA
[2026-03-23 13:37:48] Pos: [8.298568, -62.716637] | Meta: 82.3m | Ideal: 209° | IMU: 84° | Err: 125° -> GIRA A LA DERECHA
[2026-03-23 13:37:50] Pos: [8.298567, -62.716635] | Meta: 82.4m | Ideal: 209° | IMU: 77° | Err: 133° -> GIRA A LA DERECHA
[2026-03-23 13:37:52] Pos: [8.298566, -62.716632] | Meta: 82.5m | Ideal: 209° | IMU: 82° | Err: 127° -> GIRA A LA DERECHA
[2026-03-23 13:37:54] Pos: [8.298561, -62.716633] | Meta: 81.9m | Ideal: 210° | IMU: 97° | Err: 113° -> GIRA A LA DERECHA
[2026-03-23 13:37:56] Pos: [8.298555, -62.716632] | Meta: 81.4m | Ideal: 210° | IMU: 96° | Err: 114° -> GIRA A LA DERECHA
[2026-03-23 13:37:58] Pos: [8.298551, -62.716634] | Meta: 81.0m | Ideal: 210° | IMU: 75° | Err: 135° -> GIRA A LA DERECHA
[2026-03-23 13:38:00] Pos: [8.298546, -62.716630] | Meta: 80.7m | Ideal: 210° | IMU: 67° | Err: 144° -> GIRA A LA DERECHA
[2026-03-23 13:38:02] Pos: [8.298543, -62.716624] | Meta: 80.7m | Ideal: 211° | IMU: 123° | Err: 88° -> GIRA A LA DERECHA
[2026-03-23 13:38:04] Pos: [8.298537, -62.716625] | Meta: 80.0m | Ideal: 211° | IMU: 166° | Err: 45° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:06] Pos: [8.298531, -62.716626] | Meta: 79.4m | Ideal: 211° | IMU: 231° | Err: -20° -> SIGUE DERECHO
[2026-03-23 13:38:08] Pos: [8.298531, -62.716626] | Meta: 79.4m | Ideal: 211° | IMU: 183° | Err: 28° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:10] Pos: [8.298531, -62.716630] | Meta: 79.2m | Ideal: 211° | IMU: 221° | Err: -10° -> SIGUE DERECHO
[2026-03-23 13:38:12] Pos: [8.298527, -62.716634] | Meta: 78.6m | Ideal: 211° | IMU: 193° | Err: 18° -> SIGUE DERECHO
[2026-03-23 13:38:14] Pos: [8.298525, -62.716632] | Meta: 78.6m | Ideal: 211° | IMU: 271° | Err: -60° -> GIRA A LA IZQUIERDA
[2026-03-23 13:38:16] Pos: [8.298526, -62.716632] | Meta: 78.7m | Ideal: 211° | IMU: 245° | Err: -34° -> GIRA LEVEMENTE A LA IZQUIERDA
